number,title,url,pdf_file,parent_chain,has_children
01,Troubleshooting and support,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=software-troubleshooting-support,01 - Troubleshooting and support.pdf,[],True
01.01,Troubleshooting overview,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=support-troubleshooting-overview,01 - Troubleshooting and support\01.01 - Troubleshooting overview.pdf,['Troubleshooting and support'],False
01.02,Making initial checks,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=support-making-initial-checks,01 - Troubleshooting and support\01.02 - Making initial checks.pdf,['Troubleshooting and support'],True
01.02.01,Did you log off Windows while IBM App Connect Enterprise components were active?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=mic-did-you-log-off-windows-while-app-connect-enterprise-components-were-active,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.01 - Did you log off Windows while IBM App Connect Enterprise components were active_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.02,Are the Linux and UNIX environment variables set correctly?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-are-linux-unix-environment-variables-set-correctly,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.02 - Are the Linux and UNIX environment variables set correctly_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.03,Are there any error messages or return codes that explain the problem?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=mic-are-there-any-error-messages-return-codes-that-explain-problem,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.03 - Are there any error messages or return codes that explain the problem_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.04,Can you see all of your files and folders?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-can-you-see-all-your-files-folders,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.04 - Can you see all of your files and folders_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.05,Can you reproduce the problem?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-can-you-reproduce-problem,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.05 - Can you reproduce the problem_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.06,Has the message flow run successfully before?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-has-message-flow-run-successfully-before,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.06 - Has the message flow run successfully before_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.07,Have you made any changes since the last successful run?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=mic-have-you-made-any-changes-since-last-successful-run,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.07 - Have you made any changes since the last successful run_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.08,Is there a problem with descriptive text for a command?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-is-there-problem-descriptive-text-command,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.08 - Is there a problem with descriptive text for a command_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.09,Is there a problem with a database?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-is-there-problem-database,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.09 - Is there a problem with a database_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.10,Is there a problem with the network?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-is-there-problem-network,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.10 - Is there a problem with the network_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.11,Does the problem affect all users?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-does-problem-affect-all-users,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.11 - Does the problem affect all users_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.12,Have you recently changed a password?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-have-you-recently-changed-password,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.12 - Have you recently changed a password_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.13,Have you applied any service updates?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=checks-have-you-applied-any-service-updates,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.13 - Have you applied any service updates_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.02.14,Do you have a component that is running slowly?,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=mic-do-you-have-component-that-is-running-slowly,01 - Troubleshooting and support\01.02 - Making initial checks\01.02.14 - Do you have a component that is running slowly_.pdf,"['Troubleshooting and support', 'Making initial checks']",False
01.03,Dealing with problems,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=support-dealing-problems,01 - Troubleshooting and support\01.03 - Dealing with problems.pdf,['Troubleshooting and support'],True
01.03.01,Resolving problems when you install IBM App Connect Enterprise,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=dp-resolving-problems-when-you-install-app-connect-enterprise,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.01 - Resolving problems when you install IBM App Connect Enterprise.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.02,Resolving problems when you uninstall IBM App Connect Enterprise,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=dp-resolving-problems-when-you-uninstall-app-connect-enterprise,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.02 - Resolving problems when you uninstall IBM App Connect Enterprise.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.03,Resolving problems when running commands,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-running-commands,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.03 - Resolving problems when running commands.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.04,Resolving problems when creating resources,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-creating-resources,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.04 - Resolving problems when creating resources.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.05,Resolving problems when renaming resources,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-renaming-resources,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.05 - Resolving problems when renaming resources.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.06,Resolving problems when starting an integration node,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-starting-integration-node,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.06 - Resolving problems when starting an integration node.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
